Company ID,Companies,First Financing Date,Last Known Valuation Date,Last Known Valuation,First Financing Valuation,First Financing Size,Emerging Spaces,Primary Industry Code,Unicorn Status
303045-31,K16 Solutions,2017.3753424657534,2023.2054794520548,63.26,7.2,0.11,0,Business/Productivity Software,0
224577-28,Kaiyo,2015.0684931506848,2022.2383561643835,115.0,0.35,0.05,0,Internet Retail,0
149119-93,Kallyope,2015.9397260273972,2022.0712328767124,1136.0,67.0,44.0,0,Biotechnology,1
170667-46,Kapalya,2015.2931506849316,2022.3287671232877,15.0,1.2,0.2,0,Network Management Software,0
172862-56,Kaptyn,2017.3890410958904,2022.2054794520548,120.0,22.44,2.44,0,Automotive,0
102462-67,Karomi,2014.627397260274,2022.4849315068493,15.4,1.41,0.08,0,Media and Information Services (B2B),0
157570-93,Katalyst Fitness,2017.8657534246574,2022.7561643835616,126.0,43.0,13.0,0,Other Services (B2C Non-Financial),0
233514-55,Kate Farms,2015.0575342465754,2022.7150684931507,641.0,8.5,1.5,0,Beverages,0
267951-07,KayoThera,2018.1671232876713,2023.2438356164384,18.0,3.0,0.75,0,Drug Discovery,0
120688-84,Kelvin (Business/Productivity Software),2015.7972602739726,2022.2438356164384,162.51,8.25,3.25,0,Business/Productivity Software,0
187921-09,Ketos,2017.6849315068494,2022.9123287671232,54.27,9.0,2.7,0,Electronic Equipment and Instruments,0
264352-60,Kickfin,2018.0,2022.4739726027397,36.0,1.3,0.3,0,Financial Software,0
52923-34,Kickstarter,2010.035616438356,2022.3287671232877,400.0,5.0,1.0,0,Other Capital Markets/Institutions,0
231604-93,Kinside,2018.0,2022.4301369863015,39.0,1.71,0.12,0,Media and Information Services (B2B),0
42936-49,Klarna,2005.2712328767122,2022.5232876712328,6700.0,0.78,0.08,0,Financial Software,1
166681-45,Klaxoon,2015.1616438356164,2023.1397260273973,98.69,0.71,0.05,0,Communication Software,0
229877-47,Knowde,2017.695890410959,2022.531506849315,561.5,6.0,1.5,0,Multi-line Chemicals,0
277397-38,Kriptos,2018.4,2022.4136986301369,14.91,2.0,0.12,0,Network Management Software,0
221945-05,Kroo,2017.9479452054795,2022.4109589041095,115.1,12.12,2.92,0,Financial Software,0
308322-91,Kubit,2018.372602739726,2022.2410958904109,80.0,6.1,2.1,0,Business/Productivity Software,0
222566-32,Kushim,2017.731506849315,2022.682191780822,15.8,0.65,0.3,0,Financial Software,0
52304-14,Kyruus,2011.468493150685,2022.704109589041,450.1,10.7,5.5,0,Enterprise Systems (Healthcare),0
54701-38,Labdoor,2012.331506849315,2022.7479452054795,20.0,2.5,0.25,0,Information Services (B2C),0
55138-69,Lambda,2017.9671232876713,2023.1616438356164,170.0,16.0,4.0,0,Business/Productivity Software,0
